Continent,Year,"GDP per capita, PPP (constant 2021 international $)",Gini coefficient,Political regime,Trade (% of GDP)
Europe,2012,42373.22486842105,0.31801085710526317,2.5789473684210527,115.33317615789474
Europe,2013,43473.996378378375,0.3194062994594594,2.5135135135135136,114.844614
Europe,2014,43369.80607894737,0.31829590105263156,2.5,114.24993368421053
Europe,2015,44487.04665789474,0.31734588868421054,2.5,115.76552784210526
Europe,2016,45349.762986842106,0.3150049818421053,2.4210526315789473,115.95952721052632
Europe,2017,46692.551578947365,0.3113555589473684,2.473684210526316,119.23457115789472
Europe,2018,47380.534108108106,0.3116015083783784,2.4324324324324325,122.15542581081081
Europe,2019,48388.51251351352,0.3095521891891892,2.4324324324324325,122.697802
Europe,2020,47005.781,0.3095881861764706,2.411764705882353,117.24244344117648
Europe,2021,50934.54350000001,0.30777014357142857,2.4642857142857144,128.33926167857143
North America,1990,21699.2492,0.42377210600000004,2.4,63.2085872
North America,1991,19267.46828333333,0.46697977166666665,2.1666666666666665,67.18271716666668
North America,1992,20835.015349999998,0.45124471000000005,2.0,56.843235166666666
North America,1993,19145.862566666667,0.44035520666666667,2.3333333333333335,65.52138783333334
North America,1994,24474.7707,0.45281382800000003,2.4,58.5841214
North America,1995,20971.03466666667,0.46668166000000005,2.3333333333333335,80.00075316666667
North America,1996,18843.1569125,0.4574964375,2.25,70.733947
North America,1997,22117.4495,0.4649876866666666,2.5,92.19560133333333
North America,1998,18635.985233333333,0.4943348933333333,2.111111111111111,75.92595655555556
North America,1999,21258.671671428572,0.4691565628571429,2.4285714285714284,83.98184857142857
North America,2000,22416.200975,0.48515999,2.375,72.58221075
North America,2001,18121.001766666668,0.5010267822222222,2.2222222222222223,72.84921700000001
North America,2002,20755.628833333336,0.48660999666666666,2.3333333333333335,76.01424977777778
North America,2003,22762.222857142857,0.4859523885714286,2.4285714285714284,81.14247671428572
North America,2004,21576.904555555557,0.4788460588888889,2.3333333333333335,81.401433
North America,2005,21646.296888888886,0.48174558777777776,2.3333333333333335,79.54433511111111
North America,2006,22803.50615555556,0.48762354666666663,2.3333333333333335,79.89583288888889
North America,2007,25728.46255714286,0.46646249428571424,2.4285714285714284,86.29379314285714
North America,2008,25446.0840625,0.471750365,2.375,85.256432875
North America,2009,22830.961,0.4585120075,2.125,73.827713
North America,2010,25298.1727875,0.45604363375,2.25,74.955157375
North America,2011,26744.02337142857,0.45182384,2.2857142857142856,82.95313657142857
North America,2012,24012.8795,0.4733365544444445,2.111111111111111,75.03068833333333
North America,2013,27922.130857142856,0.4514711742857143,2.2857142857142856,77.53562171428572
North America,2014,23848.99516,0.45282250900000004,2.1,74.6902753
North America,2015,29153.48967142857,0.4416333471428571,2.2857142857142856,69.597369
North America,2016,28671.80625,0.4441946625,2.25,67.287726875
North America,2017,30381.103914285715,0.43193903857142857,2.2857142857142856,66.81267628571428
North America,2018,27774.159222222224,0.4265806088888889,2.2222222222222223,72.06142688888889
North America,2019,31600.972714285715,0.4288132357142857,2.2857142857142856,66.44746971428572
North America,2020,32379.566749999998,0.43287473,2.5,51.09196725
North America,2021,31822.695399999997,0.433545978,2.2,62.14174039999999
North America,2022,30688.6458,0.41534405799999996,2.2,67.978515
North America,2023,31078.3255,0.478025885,2.5,81.002533
Oceania,1995,38014.33,0.3257863,3.0,37.704044
Oceania,1996,4167.036,0.45765835,2.0,107.80335
Oceania,2001,44667.926,0.33462042,3.0,44.218704
Oceania,2002,9724.101,0.38102055,1.0,126.05258
Oceania,2003,46798.09,0.3349686,3.0,40.20157
Oceania,2004,48256.25,0.3305577,3.0,37.009613
Oceania,2005,2287.26,0.46088147,2.0,66.574585
Oceania,2008,30834.627,0.379020485,1.5,86.9223125
Oceania,2010,27585.8148,0.360040125,2.5,72.1724485
Oceania,2012,2743.4534,0.37054926,2.0,104.82363
Oceania,2013,11019.298,0.36696598,0.0,126.34839
Oceania,2014,54470.16,0.34398198,3.0,42.484024
Oceania,2016,55507.977,0.33685225,3.0,40.97408
Oceania,2018,56600.438,0.34332561,3.0,43.736065
Oceania,2019,8539.773000000001,0.31512222,1.5,103.3972125
South America,1990,11220.007666666666,0.5284090666666666,1.6666666666666667,56.06987633333333
South America,1992,10321.495074999999,0.4968200675,1.75,96.0230285
South America,1993,12669.429,0.600656,2.0,19.599321
South America,1994,11707.633,0.54875645,2.0,48.496388499999995
South America,1995,12229.355500000001,0.588355025,2.0,67.524265
South America,1996,13633.721666666666,0.5716220166666667,2.3333333333333335,35.20014916666667
South America,1997,9673.5665,0.565100045,1.75,49.112421749999996
South America,1998,11605.281525,0.538097425,2.0,76.76755625
South America,1999,9638.340233333334,0.5724760833333333,1.8333333333333333,43.54366733333333
South America,2000,10306.07426,0.5561758539999999,2.0,47.583822399999995
South America,2001,9708.8401,0.558051694,2.0,42.747063000000004
South America,2002,9825.45374,0.568450542,2.0,44.9284014
South America,2003,12071.0265,0.5402218383333334,2.1666666666666665,50.243250999999994
South America,2004,10350.232166666667,0.53745993,2.0,50.18683683333333
South America,2005,10651.185749999999,0.539360845,2.0,54.41481266666667
South America,2006,13596.918785714286,0.51646275,2.2857142857142856,62.66052771428571
South America,2007,12774.8395,0.5204543266666667,2.1666666666666665,60.68413533333333
South America,2008,13558.735428571428,0.50459955,2.142857142857143,61.18599485714286
South America,2009,14824.777075,0.4934760525,2.25,52.78386075
South America,2010,15140.954000000002,0.48882314400000004,2.2,56.934269799999996
South America,2011,16427.491375,0.48048683124999997,2.25,59.516247625
South America,2012,15531.003857142858,0.4724805285714286,2.142857142857143,56.90673171428572
South America,2013,17613.427375,0.47356533,2.25,55.806870875
South America,2014,16622.6865,0.4733530728571429,2.142857142857143,53.41259842857143
South America,2015,18040.1785,0.46503203125000003,2.25,49.728807125
South America,2016,16724.205142857143,0.4648871842857143,2.142857142857143,45.612930857142864
South America,2017,18372.40975,0.46111290875,2.25,47.61535375
South America,2018,17163.37207142857,0.45760556714285716,2.142857142857143,48.43176042857143
South America,2019,17200.837285714286,0.45577792714285714,1.8571428571428572,48.40564085714285
South America,2020,17204.6685,0.45965989875,2.0,45.96567775
South America,2021,16985.655857142858,0.45510136714285715,2.142857142857143,53.104048285714285
South America,2022,20407.293928571427,0.4590733071428571,2.2857142857142856,59.046013
South America,2023,14472.316,0.44579506,2.0,57.847755
